pet_id,customer_id,pet_name,species,breed,gender,date_of_birth,weight_lbs,color,microchip_id,is_neutered,pre_existing_conditions,vaccination_status,adoption_date,is_active,created_at,updated_at
5f6b34fe-7abc-4197-9a44-629af00df94d,544b5124-c3c7-418f-91e9-a0de2a59ec7b,Teddy,Exotic,Hamster,Female,2021-01-11,10.0,White,MC459364592,False,Diabetes,Up to Date,2021-10-08,True,2025-12-22T21:19:28.735055,2025-12-22T21:19:28.735060
7fa7561e-43a3-4302-819f-51f3996839b8,48f912b7-c6c1-4acd-a454-f4af1f9118cc,Ruby,Dog,Labrador Retriever,Female,2018-11-23,91.2,Black,,True,Allergies,Up to Date,2019-07-18,False,2025-12-22T21:19:28.735077,2025-12-22T21:19:28.735078
3b57ccf2-1879-4aa6-9a0c-65cd2b0aa216,1bc0f5fa-ecdc-45db-82e8-5509fbf799c4,Stella,Dog,Great Dane,Female,2015-07-05,80.9,Orange,MC619088783,True,,Overdue,2015-12-06,True,2025-12-22T21:19:28.735092,2025-12-22T21:19:28.735093
3f778891-3719-4c77-8169-b7cdaa343cbc,cf3582fd-f9a7-4620-8d73-efe7e32ea288,Rocky,Dog,Bulldog,Female,2017-02-03,22.9,Brown,,True,Diabetes,Up to Date,2017-06-19,True,2025-12-22T21:19:28.735109,2025-12-22T21:19:28.735110
f66e61d3-d719-41c6-be42-6da0ebecb617,ba21059e-7f67-4d15-9fef-26fa9a450b89,Leo,Dog,Shih Tzu,Female,2015-06-28,43.7,Golden,MC269546954,False,Heart Murmur,Unknown,2015-12-02,True,2025-12-22T21:19:28.735124,2025-12-22T21:19:28.735125
ecf8c932-7477-4da0-8052-3a2ec18e522f,2a9f2bf0-064b-4a25-8caa-d1884c7401fa,Ruby,Cat,Bengal,Female,2023-01-22,15.0,Brown,,False,Heart Murmur,Up to Date,2023-12-08,True,2025-12-22T21:19:28.735137,2025-12-22T21:19:28.735138
3a43720f-1c38-4c8b-9e5f-9f5edc1715ed,ad8b6c4e-dea1-4372-b2c0-94aeb93f3ccf,Rosie,Dog,German Shepherd,Female,2016-03-18,56.0,Brown,,True,Heart Murmur,Up to Date,2016-07-10,True,2025-12-22T21:19:28.735149,2025-12-22T21:19:28.735150
dac006ed-68d4-4989-b32d-ee60551d29d7,81d2a18f-4f38-44cc-a9b4-11c0e1c7134f,Jack,Dog,Bernese Mountain Dog,Female,2018-09-01,36.2,Spotted,MC549736304,True,Heart Murmur,Unknown,2019-04-26,True,2025-12-22T21:19:28.735167,2025-12-22T21:19:28.735168
aa1b5d97-c35d-4c3d-b34a-7c7b1d571a69,29d381ce-0a48-4539-9d85-9e6d34794f22,Coco,Dog,Doberman Pinscher,Female,2020-04-07,62.9,Spotted,,False,Allergies,Overdue,2021-03-05,True,2025-12-22T21:19:28.735180,2025-12-22T21:19:28.735181
cbe15fdb-7cd2-471b-85fe-108c4bf59782,ff0536ad-fe8f-46fa-baee-c15e4ab1ec4a,Zeus,Exotic,Chinchilla,Male,2017-02-12,8.0,Brown,,True,Arthritis,Up to Date,2017-12-20,False,2025-12-22T21:19:28.735195,2025-12-22T21:19:28.735195
33c49e3d-5ed9-461a-af16-6a4bb0c7d9e7,ec19d9c6-3a93-4910-8d71-f9b3613c74fd,Duke,Cat,Abyssinian,Male,2018-05-25,18.6,Golden,MC134212792,False,Allergies,Overdue,2019-02-25,True,2025-12-22T21:19:28.735208,2025-12-22T21:19:28.735209
0f0132a0-1d87-42f2-8ee0-2744d3ff3a98,7087b8b1-4d7f-41b9-b148-c62549d7e7b2,Rocky,Cat,Russian Blue,Female,2022-05-29,2.9,Gray,MC982101637,False,Heart Murmur,Unknown,2023-05-11,True,2025-12-22T21:19:28.735221,2025-12-22T21:19:28.735221
ee472d2f-39dd-4920-a484-636f9b5721a7,c1d8bcf1-1b90-477e-ac82-6d8074fb63e5,Zoey,Cat,Birman,Female,2015-03-16,7.3,Orange,MC915050969,False,,Overdue,2015-11-17,True,2025-12-22T21:19:28.735234,2025-12-22T21:19:28.735235
12c02b49-ebe6-4d97-a769-00702545c83e,fddce531-3aa0-4f91-b1aa-4cceba631921,Chloe,Cat,Domestic Shorthair,Male,2016-08-25,11.6,Brown,,False,Diabetes,Overdue,2016-12-22,True,2025-12-22T21:19:28.735245,2025-12-22T21:19:28.735246
3814494d-15af-484a-ad17-ab7346b531f2,a61d78f1-e5b0-4a1a-9704-b17a9a8155ea,Murphy,Cat,Birman,Male,2019-09-23,4.3,Golden,MC500500238,False,Arthritis,Overdue,2020-06-12,True,2025-12-22T21:19:28.735257,2025-12-22T21:19:28.735258
e78e32c3-bf2d-447c-901f-503719d9f3ae,e287f90f-c1dd-4d5d-9c9f-e1fb86335912,Rosie,Dog,Great Dane,Female,2015-02-06,91.0,Mixed,MC380453917,False,,Unknown,2015-07-10,True,2025-12-22T21:19:28.735269,2025-12-22T21:19:28.735270
8d253113-1979-4b33-b04d-f4fd061345aa,9cc02fda-adab-4535-b755-bfdf3ec2f60d,Oscar,Cat,Ragdoll,Female,2021-09-06,20.1,Brown,MC363189230,False,Hip Dysplasia,Overdue,2021-11-20,True,2025-12-22T21:19:28.735280,2025-12-22T21:19:28.735281
2d3b6fdf-6638-49d9-b61a-4e6214c0d5b8,feb4fb92-5efe-4499-874a-441b1a860dd8,Charlie,Exotic,Hamster,Female,2023-08-12,2.5,White,MC809337656,False,Heart Murmur,Up to Date,2024-07-02,True,2025-12-22T21:19:28.735291,2025-12-22T21:19:28.735292
bc6fdec1-c0b6-4fd5-9edd-8a51939850d6,cd568886-7f3c-47f9-ba48-6737ad63c40f,Coco,Cat,Sphynx,Male,2020-11-19,17.9,Orange,MC521563224,True,,Overdue,2021-06-12,True,2025-12-22T21:19:28.735302,2025-12-22T21:19:28.735303
0ebea42b-98aa-43a8-a286-8a071287c8dd,b905a118-7d09-43d0-8b7a-53485292adcb,Louie,Exotic,Reptile,Male,2015-07-24,7.0,Black,,False,Allergies,Unknown,2016-02-13,False,2025-12-22T21:19:28.735313,2025-12-22T21:19:28.735313
dcefae64-165e-4e91-bc00-1d87e670a515,b9206687-75f9-4d84-9061-b7714e20c405,Duke,Dog,Siberian Husky,Male,2020-08-20,82.2,Brindle,MC963628116,True,Hip Dysplasia,Overdue,2021-02-04,True,2025-12-22T21:19:28.735325,2025-12-22T21:19:28.735325
c3644bff-7e72-4e53-bb50-c6b5df37a46f,915c4c1e-bc76-42a1-a94c-1b09da2e99bb,Lily,Cat,Bengal,Female,2015-06-03,10.2,Orange,MC212651060,True,Diabetes,Up to Date,2016-03-13,False,2025-12-22T21:19:28.735336,2025-12-22T21:19:28.735336
f0e0656d-b601-4ffd-9823-2c8cd4b01e98,5a6ae35a-119a-4987-ae0d-42acf04e8179,Bella,Cat,Norwegian Forest Cat,Female,2024-01-23,8.8,Mixed,,False,Arthritis,Up to Date,2024-07-03,True,2025-12-22T21:19:28.735346,2025-12-22T21:19:28.735347
eeae8cb7-07f6-4365-b831-0b4347d84f92,443df741-4465-4e8e-b83e-f79d39a017a7,Lily,Cat,British Shorthair,Male,2015-11-24,7.6,Brown,,True,Allergies,Up to Date,2016-11-19,True,2025-12-22T21:19:28.735357,2025-12-22T21:19:28.735357
6eb8c7ec-6f66-42b6-88c4-35a26f214f60,859ff977-fcbd-4a51-80be-c83d478ecc0a,Milo,Dog,Havanese,Female,2020-08-21,68.5,Orange,MC756471784,False,Hip Dysplasia,Overdue,2021-01-28,True,2025-12-22T21:19:28.735369,2025-12-22T21:19:28.735370
0702c49d-4adc-4071-b5d5-501d00664156,49ab6b36-fc5b-43bd-b9ed-0cb2eecf0b34,Bear,Bird,African Grey,Male,2024-01-02,-1.2,White,MC502772097,True,Diabetes,Unknown,2024-05-01,True,2025-12-22T21:19:28.735382,2025-12-22T21:19:28.735382
2c7b8759-acb1-4e06-ad7e-7c18037419f2,69d4bc7f-cc12-4570-87f1-83b076023f54,Ruby,Exotic,Hedgehog,Male,2018-01-17,-2.7,White,MC553292511,True,Heart Murmur,Unknown,2018-08-13,True,2025-12-22T21:19:28.735393,2025-12-22T21:19:28.735393
672b84b0-29c5-4089-873e-ea6a834aeb08,2a9f2bf0-064b-4a25-8caa-d1884c7401fa,Oscar,Dog,German Shepherd,Female,2023-12-29,11.3,Spotted,MC832105221,False,Allergies,Unknown,2024-03-19,True,2025-12-22T21:19:28.735403,2025-12-22T21:19:28.735403
ebce4847-27a3-4ad2-ae95-c934e757251d,514f7391-a650-4669-82f5-bb8f77482c73,Louie,Dog,Rottweiler,Male,2016-11-19,46.1,White,MC140753649,True,Arthritis,Overdue,2017-02-23,True,2025-12-22T21:19:28.735413,2025-12-22T21:19:28.735414
6cde5891-6438-412e-9c68-17b2b129f106,4d4f8cb2-4c27-47bf-a723-38882c6ece9f,Finn,Dog,Havanese,Male,2021-02-23,30.6,Spotted,,True,,Unknown,2022-01-13,True,2025-12-22T21:19:28.735424,2025-12-22T21:19:28.735425
87ee0b4f-2617-4955-bf0d-a1df2de2212a,c90e5752-edf4-4920-9d1b-d29f8559d06d,Lucy,Cat,Maine Coon,Female,2018-03-26,11.5,Spotted,,True,Diabetes,Up to Date,2019-01-29,True,2025-12-22T21:19:28.735435,2025-12-22T21:19:28.735436
