provider_id,provider_name,provider_type,address,city,state,zip_code,phone,email,is_in_network,average_rating,total_reviews,accepts_emergency,operating_hours,specialties,license_number,created_at
ab1bff3a-3260-4009-a4c1-f6473d520cfa,Valley Animal Medical Center,Emergency Hospital,8950 Veterinary Drive,Boston,MA,02101,(860) 993-5916,contact@rivervet90.com,True,4.5,380,True,7AM-9PM,Surgery,VETMA90413,2025-12-22T21:19:28.817463
cbb36380-f691-494e-a229-acecc3924864,Meadow Pet Clinic,Specialty Clinic,5526 Medical Plaza,Miami,FL,33101,(719) 477-4101,contact@rivervet61.com,True,4.3,169,True,9AM-5PM,Surgery,VETFL43883,2025-12-22T21:19:28.817474
b43f6584-ddae-49d9-9009-3dbe38d49037,Valley Animal Care,General Practice,9572 Medical Center,Houston,TX,77001,(254) 970-2757,contact@petvet8.com,False,3.9,412,False,9AM-5PM,Cardiology,VETTX75416,2025-12-22T21:19:28.817499
2a5ed89f-c5da-43b9-855d-429bed741166,Mountain Animal Medical Center,Specialty Clinic,6463 Healthcare Center,Philadelphia,PA,19101,(574) 399-9533,contact@centralvet74.com,True,3.6,365,False,8AM-6PM,Surgery,VETPA81665,2025-12-22T21:19:28.817513
8615fac1-80a0-4c64-b6b6-d21d5898d7cd,Oak Animal Hospital,Emergency Hospital,750 Healthcare Plaza,Nashville,TN,37201,(895) 771-8422,contact@cityvet44.com,True,5.0,186,True,7AM-9PM,Cardiology,VETTN12846,2025-12-22T21:19:28.817525
dc96400e-a575-411b-ae00-c39d7b52b941,Central Animal Medical Center,Emergency Hospital,8711 Veterinary Park,Detroit,MI,48201,(271) 276-5070,contact@familyvet1.com,False,4.5,419,False,7AM-9PM,Oncology,VETMI64931,2025-12-22T21:19:28.817536
b6006fbb-42bc-4f8c-bdf5-e650603c412f,Family Animal Care,General Practice,340 Animal Center,Philadelphia,PA,19101,(973) 612-2538,contact@petvet37.com,False,4.7,402,True,24/7,Dermatology,VETPA13957,2025-12-22T21:19:28.817546
26cf3790-e04b-480d-8eaa-131d9c3c10f2,City Veterinary Clinic,General Practice,6137 Medical Plaza,Boston,MA,02101,(403) 465-8079,contact@companionvet25.com,True,4.4,177,True,7AM-9PM,Cardiology,VETMA15730,2025-12-22T21:19:28.817562
97719b55-dfec-4e3a-9ee7-aa4daf30ed6e,Sunrise Vet Center,Mobile Vet,3936 Medical Drive,Austin,TX,78701,(932) 840-4322,contact@valleyvet56.com,True,4.7,321,False,8AM-6PM,Orthopedics,VETTX90241,2025-12-22T21:19:28.817572
ec33a6dd-bc5d-459b-a35f-2b917e47105b,Animal Animal Care,Mobile Vet,8407 Animal Drive,Las Vegas,NV,89101,(445) 824-9853,contact@sunsetvet16.com,False,3.8,129,False,7AM-9PM,Surgery,VETNV75690,2025-12-22T21:19:28.817580
b01708e6-5ff5-4ebf-94e2-b0b3ca587157,Sunset Pet Hospital,Mobile Vet,6337 Medical Drive,Nashville,TN,37201,(316) 382-2527,contact@rivervet89.com,False,4.5,94,False,8AM-6PM,Surgery,VETTN50649,2025-12-22T21:19:28.817590
a01e1ba5-4991-460e-b0cd-1b3cbe2b10a5,Sunrise Veterinary Clinic,General Practice,7897 Veterinary Center,Seattle,WA,98101,(280) 422-7283,contact@meadowvet22.com,True,4.6,147,False,24/7,Surgery,VETWA75567,2025-12-22T21:19:28.817597
0fd1a028-fa1a-4091-b418-1ea08ed7767e,Animal Animal Care,Specialty Clinic,6175 Animal Center,Fort Worth,TX,76101,(485) 816-2200,contact@rivervet1.com,True,4.9,371,False,24/7,Cardiology,VETTX34780,2025-12-22T21:19:28.817606
440287cc-c506-4353-8b92-8362ce2620df,Oak Veterinary Hospital,General Practice,395 Animal Drive,Seattle,WA,98101,(918) 620-3102,contact@petvet73.com,False,4.6,468,False,7AM-9PM,Dermatology,VETWA20607,2025-12-22T21:19:28.817613
67e33988-2b65-4969-9cfa-3514ab40ec72,Metro Animal Hospital,General Practice,2292 Medical Plaza,Las Vegas,NV,89101,(221) 699-2355,contact@animalvet11.com,True,4.5,233,True,8AM-6PM,Oncology,VETNV48585,2025-12-22T21:19:28.817622
2e03dcb7-5e02-459e-a2a5-0d494616af9c,Metro Vet Center,General Practice,2602 Healthcare Center,Los Angeles,CA,90001,(507) 693-2167,contact@companionvet56.com,False,4.1,280,True,9AM-5PM,Cardiology,VETCA57893,2025-12-22T21:19:28.817631
1d882aa1-8f94-4cec-84bb-7d38237e0bac,City Pet Clinic,Specialty Clinic,1953 Medical Park,Boston,MA,02101,(690) 304-7375,contact@valleyvet67.com,True,3.6,347,True,9AM-5PM,Orthopedics,VETMA81633,2025-12-22T21:19:28.817639
c1ed2453-5804-419a-b27b-34d904b187ac,Companion Animal Hospital,Emergency Hospital,6294 Animal Center,San Jose,CA,95101,(574) 957-4322,contact@metrovet10.com,True,4.5,191,True,24/7,Surgery,VETCA71877,2025-12-22T21:19:28.817647
efbb9af0-b008-4db4-87ac-cbe63f4c8f1e,Premier Pet Hospital,Emergency Hospital,393 Medical Center,Boston,MA,02101,(832) 561-4473,contact@familyvet11.com,False,4.7,437,False,8AM-6PM,,VETMA34047,2025-12-22T21:19:28.817655
18efea0b-9c03-471c-a76e-6fc2d99a22d9,City Pet Hospital,Emergency Hospital,7828 Medical Plaza,Atlanta,GA,30301,(968) 604-7239,contact@familyvet86.com,True,3.6,391,True,8AM-6PM,Oncology,VETGA53942,2025-12-22T21:19:28.817665
e597b975-88ce-4aa9-adfd-de56049bf013,Mountain Animal Care,Specialty Clinic,2799 Medical Center,Houston,TX,77001,(681) 737-9046,contact@premiervet82.com,True,3.8,326,False,9AM-5PM,Orthopedics,VETTX33972,2025-12-22T21:19:28.817676
ab1d1aa0-09d9-46e5-a49b-60bd0f1bbfaf,Mountain Pet Clinic,Mobile Vet,2802 Veterinary Drive,Las Vegas,NV,89101,(454) 707-2674,contact@familyvet89.com,True,4.3,291,False,24/7,Orthopedics,VETNV73680,2025-12-22T21:19:28.817684
c63f8d32-08d6-4bc9-be04-26c56e6a5db3,Valley Animal Hospital,Emergency Hospital,9706 Healthcare Drive,San Antonio,TX,78201,(852) 287-5348,contact@sunrisevet27.com,False,4.7,260,False,7AM-9PM,,VETTX11942,2025-12-22T21:19:28.817691
8244a8bc-ab32-4152-b1c5-49f4ad822280,Sunrise Veterinary Hospital,General Practice,7848 Animal Plaza,Houston,TX,77001,(400) 348-8082,contact@rivervet84.com,True,4.7,472,True,8AM-6PM,,VETTX34596,2025-12-22T21:19:28.817700
36e2eefa-2604-4ab4-9c64-1e9ac8045ce0,Animal Animal Hospital,Emergency Hospital,6442 Veterinary Center,Charlotte,NC,28201,(299) 531-2043,contact@mountainvet25.com,True,3.8,149,False,9AM-5PM,Cardiology,VETNC98031,2025-12-22T21:19:28.817710
e8823cc4-6a9a-490d-bdff-7f55883814df,Pet Veterinary Clinic,General Practice,3622 Medical Plaza,Portland,OR,97201,(370) 540-6043,contact@petvet52.com,True,3.9,430,False,7AM-9PM,Oncology,VETOR19991,2025-12-22T21:19:28.817718
902cab83-87a9-40d3-ad6d-bc4b0bb45d9c,City Animal Hospital,Specialty Clinic,7543 Medical Park,Houston,TX,77001,(373) 399-1462,contact@sunrisevet31.com,False,4.0,280,False,24/7,Cardiology,VETTX57570,2025-12-22T21:19:28.817725
e257397b-b0ce-4fab-855f-011ad90ec686,City Veterinary Hospital,Mobile Vet,8014 Veterinary Park,Fort Worth,TX,76101,(662) 772-1787,contact@familyvet39.com,False,4.0,377,False,24/7,Surgery,VETTX21250,2025-12-22T21:19:28.817732
e3d83afb-1d38-481a-8de6-7b82da45adf2,River Pet Hospital,Emergency Hospital,2844 Veterinary Center,Phoenix,AZ,85001,(502) 728-6927,contact@companionvet99.com,False,4.6,327,False,7AM-9PM,Dermatology,VETAZ33023,2025-12-22T21:19:28.817740
1e5cc946-5fcb-4d8b-89f3-d40b9220fac7,Mountain Pet Clinic,Emergency Hospital,1109 Healthcare Plaza,Denver,CO,80201,(538) 742-4740,contact@metrovet26.com,True,4.7,330,True,7AM-9PM,Cardiology,VETCO71184,2025-12-22T21:19:28.817747
